"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"232","<U+092E><U+0947><U+0930><U+093E> <U+092E><U+093F><U+0924><U+094D><U+0930> <U+092A><U+094D><U+0930><U+0927><U+093E><U+0928><U+092E><U+0928><U+094D><U+0924><U+094D><U+0930><U+0940> <U+0913><U+0932><U+0940><U+091C><U+094D><U+092F><U+0942>, <U+0924><U+092A><U+093E><U+0908><U+0915><U+094B> <U+0936><U+0941><U+092D><U+0915><U+093E><U+092E><U+0928><U+093E><U+0915><U+093E> <U+0932><U+093E><U+0917><U+093F> <U+0927><U+0928><U+094D><U+092F><U+0935><U+093E><U+0926> <U+0935><U+094D><U+092F><U+0915><U+094D><U+0924> <U+0917><U+0930><U+094D><U+0928> <U+091A><U+093E><U+0939><U+0928><U+094D><U+091B><U+0941> <U+0964> <U+092F><U+0939><U+093E><U+0901><U+0915><U+094B> <U+0936><U+0941><U+092D><U+0915><U+093E><U+092E><U+0928><U+093E><U+0915><U+094B> <U+0905><U+0924><U+094D><U+092F><U+0928><U+094D><U+0924><U+0948> <U+0915>… https://t.co/p01YqokjF2",FALSE,8927,NA,2019-09-17 10:28:48,TRUE,NA,"1173906643253415942",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","narendramodi",1205,FALSE,FALSE,NA,NA
"233","Thank you @PMBhutan for your gracious prayers and wishes from the people of Bhutan. 

We will work together to take… https://t.co/ZVMX7wabAx",FALSE,10772,NA,2019-09-17 10:27:22,TRUE,NA,"1173906284195852290",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","narendramodi",1223,FALSE,FALSE,NA,NA
"234","<U+092C><U+0939><U+0941><U+0924>-<U+092C><U+0939><U+0941><U+0924> <U+0927><U+0928><U+094D><U+092F><U+0935><U+093E><U+0926> @TCGEHLOT <U+091C><U+0940><U+0964> https://t.co/ihUXVHVbs3",FALSE,5992,NA,2019-09-17 10:25:15,FALSE,NA,"1173905751678619648",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","narendramodi",763,FALSE,FALSE,NA,NA
"235","<U+0906><U+092A><U+0915><U+0947> <U+092A><U+094D><U+0930><U+0947><U+0930><U+0923><U+093E><U+0926><U+093E><U+092F><U+0940> <U+092C><U+0927><U+093E><U+0908> <U+0938><U+0902><U+0926><U+0947><U+0936> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+092C><U+0939><U+0941><U+0924> <U+0906><U+092D><U+093E><U+0930> @irvpaswan <U+091C><U+0940><U+0964> https://t.co/ucncgVr0PI",FALSE,9623,NA,2019-09-17 10:24:24,FALSE,NA,"1173905533721567237",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","narendramodi",923,FALSE,FALSE,NA,NA
"236","<U+0936><U+0941><U+092D><U+0915><U+093E><U+092E><U+0928><U+093E><U+0913><U+0902> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+0906><U+092A><U+0915><U+093E> <U+092C><U+0939><U+0941><U+0924>-<U+092C><U+0939><U+0941><U+0924> <U+0906><U+092D><U+093E><U+0930> @nitin_gadkari <U+091C><U+0940><U+0964> https://t.co/ncQjujUbJ3",FALSE,13234,NA,2019-09-17 10:23:28,FALSE,NA,"1173905298916089856",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","narendramodi",1225,FALSE,FALSE,NA,NA
"237","<U+0936><U+0941><U+092D><U+0915><U+093E><U+092E><U+0928><U+093E><U+0913><U+0902> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+0906><U+092A><U+0915><U+093E> <U+092C><U+0939><U+0941><U+0924>-<U+092C><U+0939><U+0941><U+0924> <U+0906><U+092D><U+093E><U+0930> @AmitShah <U+091C><U+0940><U+0964> https://t.co/VhBFwHB038",FALSE,28280,NA,2019-09-17 10:22:13,FALSE,NA,"1173904986243289090",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","narendramodi",2566,FALSE,FALSE,NA,NA
"238","Rajnath Ji, thank you for the good wishes and kind words. 

Our nation gains tremendously from your insights and ad… https://t.co/jDPcIfbqD9",FALSE,8677,NA,2019-09-17 10:21:25,TRUE,NA,"1173904785755578374",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","narendramodi",1041,FALSE,FALSE,NA,NA
"239","<U+0907><U+0928> <U+0936><U+0941><U+092D><U+0915><U+093E><U+092E><U+0928><U+093E><U+0913><U+0902> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+092C><U+0939><U+0941><U+0924>-<U+092C><U+0939><U+0941><U+0924> <U+0906><U+092D><U+093E><U+0930> @ombirlakota <U+091C><U+0940><U+0964> https://t.co/DM1PxYk4MS",FALSE,10303,NA,2019-09-17 10:18:38,FALSE,NA,"1173904082706292737",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","narendramodi",1091,FALSE,FALSE,NA,NA
"240","Thank you Pranab Da. 

As always, your wishes are a source of great strength. @CitiznMukherjee https://t.co/6687gRyP0Y",FALSE,13919,NA,2019-09-17 10:13:25,FALSE,NA,"1173902770279243776",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","narendramodi",1518,FALSE,FALSE,NA,NA
"241","Venkaiah Garu, I appreciate your good wishes. @VPSecretariat https://t.co/2Za06bNTSK",FALSE,10543,NA,2019-09-17 10:12:25,FALSE,NA,"1173902518222491648",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","narendramodi",1180,FALSE,FALSE,NA,NA
"242","<U+092E><U+093E><U+0928><U+0928><U+0940><U+092F> <U+0930><U+093E><U+0937><U+094D><U+091F><U+094D><U+0930><U+092A><U+0924><U+093F> <U+092E><U+0939><U+094B><U+0926><U+092F>, <U+0907><U+0938> <U+0936><U+0941><U+092D><U+0915><U+093E><U+092E><U+0928><U+093E> <U+0938><U+0902><U+0926><U+0947><U+0936> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+092C><U+0939><U+0941><U+0924>-<U+092C><U+0939><U+0941><U+0924> <U+0906><U+092D><U+093E><U+0930><U+0964> @rashtrapatibhvn https://t.co/TjYKikb4DF",FALSE,19287,NA,2019-09-17 10:11:34,FALSE,NA,"1173902306850627584",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","narendramodi",2097,FALSE,FALSE,NA,NA
"243","Reached Kevadia a short while ago. 

Have a look at the majestic ‘Statue of Unity’, India’s tribute to the great Sa… https://t.co/qI6qqf6Njs",FALSE,139612,NA,2019-09-17 03:08:37,TRUE,NA,"1173795868346081282",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","narendramodi",18318,FALSE,FALSE,NA,NA
"244","There is great enthusiasm towards the #HowdyModi programme in Houston on 22nd. For my speech that day, I want to he… https://t.co/uGvTFJl6n2",FALSE,32516,NA,2019-09-16 18:17:47,TRUE,NA,"1173662279545450496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",5675,FALSE,FALSE,NA,NA
"245","NaMo App gets a new update! 

It is faster and sleeker, enables easier access to exclusive content and has new feat… https://t.co/19wyzQZYTx",FALSE,19758,NA,2019-09-16 08:42:27,TRUE,NA,"1173517493379330048",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","narendramodi",3711,FALSE,FALSE,NA,NA
"246","The special gesture of President @realDonaldTrump to join us in Houston highlights the strength of the relationship… https://t.co/3yOBK6NlVQ",FALSE,49634,NA,2019-09-16 04:15:10,TRUE,NA,"1173450228042584065",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",8597,FALSE,FALSE,NA,NA
"247","A special gesture by @POTUS, signifying the special friendship between India and USA!

Delighted that President… https://t.co/OgBxV6fOu4",FALSE,57363,NA,2019-09-16 04:12:24,TRUE,NA,"1173449532769632261",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",10306,FALSE,FALSE,NA,NA
